entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.052,0.2279,0.2985,0.0709,0.05354,0.09783,0.04259,0.03078,0.02393,0.02663,0.02738,0.164,0.164,
1.751,0.228,0.164,0.03904,0.02948,0.05353,0.02346,0.01695,0.01318,0.01466,0.01507,0.3147,0.3159,
1.75,0.229,0.1636,0.03899,0.02944,0.05345,0.02342,0.01693,0.01316,0.01464,0.01505,0.3159,0.3155,
1.749,0.2304,0.1627,0.039,0.02945,0.05346,0.02343,0.01693,0.01316,0.01464,0.01505,0.3159,0.3162,
1.749,0.2572,0.1625,0.03894,0.0294,0.05338,0.02339,0.0169,0.01314,0.01462,0.01503,0.317,0.3157,
1.747,0.2305,0.1623,0.03894,0.02941,0.05339,0.02287,0.01677,0.01314,0.01462,0.01503,0.3171,0.3164,
1.746,0.2349,0.1618,0.0389,0.02937,0.05332,0.02284,0.01675,0.01313,0.01461,0.01502,0.3183,0.316,
1.742,0.2381,0.1614,0.03884,0.02933,0.05309,0.02196,0.01673,0.01311,0.01459,0.015,0.3195,0.3165,
1.742,0.2428,0.1612,0.03885,0.02934,0.0531,0.02197,0.01674,0.01311,0.01459,0.015,0.3195,0.3166,
1.742,0.2418,0.1609,0.03886,0.02935,0.05296,0.02198,0.01674,0.01312,0.0146,0.015,0.3197,0.3167,
1.742,0.2405,0.1602,0.03886,0.02935,0.05296,0.02198,0.01674,0.01312,0.0146,0.015,0.3197,0.3174,
1.739,0.2447,0.1596,0.03874,0.02926,0.0528,0.02169,0.01664,0.01308,0.01455,0.01496,0.3219,0.3168,
1.738,0.2421,0.1587,0.03871,0.02923,0.05276,0.02167,0.01662,0.01307,0.01454,0.01495,0.3233,0.3165,
1.738,0.2414,0.1585,0.03872,0.02924,0.05277,0.02167,0.01662,0.01307,0.01454,0.01495,0.3233,0.3165,
1.738,0.2386,0.1585,0.03865,0.02924,0.05274,0.02168,0.01663,0.01307,0.01455,0.01495,0.3234,0.3166,
1.736,0.2423,0.1577,0.03854,0.02916,0.05259,0.02162,0.01658,0.01303,0.0145,0.01491,0.3257,0.3157,
1.734,0.2392,0.1572,0.03842,0.02912,0.05253,0.02159,0.01656,0.01302,0.01449,0.01489,0.3269,0.3153,
1.734,0.2394,0.157,0.03843,0.02913,0.05254,0.02159,0.01656,0.01302,0.01449,0.01489,0.327,0.3154,
1.733,0.2392,0.1567,0.03837,0.02908,0.05245,0.02156,0.01654,0.013,0.01446,0.01487,0.3281,0.3148,
1.733,0.2374,0.1567,0.03825,0.02908,0.05246,0.02156,0.01654,0.013,0.01447,0.01487,0.3281,0.3149,
1.733,0.2362,0.1567,0.03825,0.02908,0.05246,0.02156,0.01654,0.013,0.01447,0.01487,0.3281,0.3149,
1.731,0.2438,0.1565,0.03819,0.02903,0.05237,0.02125,0.01651,0.01298,0.01444,0.01485,0.3292,0.3147,
1.73,0.2398,0.1561,0.03811,0.02898,0.0523,0.02122,0.01649,0.01296,0.01442,0.01483,0.3304,0.3142,
1.73,0.239,0.1553,0.03803,0.02898,0.0523,0.02122,0.01649,0.01296,0.01442,0.01483,0.3304,0.3151,
1.728,0.2413,0.1547,0.03788,0.02889,0.05214,0.02115,0.01644,0.01292,0.01438,0.01478,0.3327,0.3141,
1.728,0.2426,0.1547,0.03788,0.02889,0.05214,0.02115,0.01644,0.01292,0.01438,0.01478,0.3327,0.3141,
1.725,0.2463,0.1544,0.03782,0.02844,0.0519,0.02112,0.01641,0.0129,0.01436,0.01476,0.3339,0.314,
1.725,0.2468,0.1544,0.03782,0.02844,0.0519,0.02112,0.01641,0.0129,0.01436,0.01476,0.3339,0.314,
1.722,0.251,0.1542,0.03775,0.02839,0.05181,0.02042,0.01638,0.01288,0.01433,0.01473,0.335,0.3142,
1.719,0.2515,0.1531,0.03763,0.02829,0.05164,0.02007,0.01633,0.01284,0.01428,0.01468,0.3372,0.314,
1.719,0.2608,0.1531,0.03763,0.02829,0.05164,0.02019,0.01622,0.01284,0.01428,0.01468,0.3372,0.314,
