R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.3E-36,0.019,1900.0,3900.0,2700.0,3799999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3799999.9999999995,0.0015,0.061,0.061,0.0,260.0,1.2,0.0,0.0,0.0,2999999.9999999995,1.0,6.9E8,
3.3E-36,0.019,1900.0,3900.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3799999.9999999995,2.1E-4,0.06,0.06,0.0,250.0,1.2,0.0,0.0,0.0,5000000.0,1.0,6.8E8,
3.3E-36,0.019,1900.0,3900.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,9.2E-5,0.06,0.06,0.0,250.0,1.2,0.0,0.0,0.0,6599999.999999999,1.0,6.8E8,
3.3E-36,0.019,1900.0,3900.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,4.6E-5,0.06,0.06,0.0,240.0,1.2,0.0,0.0,0.0,8400000.0,1.0,6.8E8,
3.3E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,2.8E-5,0.06,0.06,0.0,230.0,1.2,0.0,0.0,0.0,9900000.0,1.0,6.7E8,
3.3E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,2.1E-5,0.06,0.06,0.0,220.0,1.2,0.0,0.0,0.0,1.1E7,1.0,6.7E8,
3.3E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,1.5E-5,0.06,0.06,0.0,210.0,1.2,0.0,0.0,0.0,1.2E7,1.0,6.7E8,
3.3E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,1.1E-5,0.06,0.06,0.0,200.0,1.2,0.0,0.0,0.0,1.4E7,1.0,6.7E8,
3.3E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3699999.9999999995,8.3E-6,0.06,0.06,0.0,180.0,1.2,0.0,0.0,0.0,1.5E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,7.3E-6,0.06,0.06,0.0,180.0,1.2,0.0,0.0,0.0,1.6E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,7.2E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,1.6E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,6.5E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,1.7E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,5.5E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,1.8E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,4.5E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,1.9E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,3.7E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,2.0E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,3.1E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,2.2E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,2.6E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,2.3E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,2.1E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,2.5E7,1.0,6.7E8,
3.2E-36,0.019,1900.0,3800.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5800.0,0.13,3699999.9999999995,2.6E-6,0.06,0.06,0.0,170.0,1.2,0.0,0.0,0.0,2.3E7,1.0,6.7E8,
