entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.7,0.3039,0.1409,0.04224,0.02771,0.05226,0.0169,0.02248,0.01045,0.01575,0.007772,0.3465,0.317,
1.7,0.3125,0.1404,0.0423,0.02777,0.05266,0.0169,0.02248,0.01045,0.01575,0.007772,0.3465,0.317,
1.699,0.3088,0.14,0.04228,0.02777,0.05257,0.01687,0.02244,0.01043,0.01572,0.007758,0.3477,0.3165,
1.698,0.3158,0.1397,0.04211,0.02777,0.05222,0.01682,0.02241,0.01042,0.0157,0.007749,0.349,0.3161,
1.719,0.3177,0.1386,0.04202,0.02784,0.05306,0.01682,0.02241,0.01042,0.01571,0.0135,0.3434,0.3162,
1.718,0.2932,0.1386,0.04203,0.02795,0.05288,0.01683,0.02242,0.01042,0.01648,0.01273,0.3434,0.3163,
1.717,0.3062,0.1368,0.04201,0.02789,0.05381,0.0165,0.02234,0.01039,0.01642,0.01269,0.3457,0.3154,
1.715,0.295,0.1367,0.04213,0.02716,0.05381,0.0165,0.02234,0.01039,0.01716,0.01196,0.3457,0.3162,
1.714,0.2987,0.1364,0.04204,0.02715,0.05372,0.01647,0.0223,0.01071,0.01679,0.01193,0.3468,0.3157,
1.711,0.3038,0.136,0.04184,0.02727,0.05411,0.01647,0.0251,0.007921,0.01679,0.01194,0.3469,0.3157,
1.718,0.3169,0.1335,0.04179,0.02736,0.0565,0.01647,0.0251,0.007921,0.01679,0.01319,0.3456,0.3157,
1.718,0.3122,0.1335,0.04181,0.02742,0.05633,0.01647,0.0251,0.007923,0.01679,0.0132,0.3457,0.3158,
1.722,0.3069,0.1331,0.04148,0.02739,0.05626,0.01645,0.02507,0.007913,0.01677,0.01518,0.345,0.3154,
1.722,0.3023,0.1331,0.04136,0.02751,0.0561,0.01646,0.02507,0.00813,0.01656,0.01518,0.3451,0.3155,
1.728,0.302,0.1312,0.04115,0.02761,0.0577,0.01561,0.02503,0.008116,0.01653,0.01773,0.3436,0.3157,
1.728,0.3047,0.131,0.04116,0.02767,0.05763,0.01561,0.02503,0.008118,0.01689,0.01737,0.3437,0.3158,
1.726,0.3048,0.1305,0.04101,0.02769,0.05744,0.01556,0.02495,0.00809,0.01705,0.01709,0.3459,0.3147,
1.726,0.2891,0.1302,0.04092,0.02779,0.05768,0.01556,0.02495,0.00809,0.01705,0.01709,0.3459,0.3147,
1.724,0.2919,0.1298,0.04075,0.02773,0.05748,0.0155,0.02503,0.007889,0.01699,0.01703,0.3482,0.3136,
1.723,0.2904,0.1294,0.04082,0.02769,0.05723,0.01548,0.02499,0.007877,0.01697,0.01701,0.3494,0.3131,
1.723,0.285,0.1294,0.04085,0.02771,0.05723,0.01548,0.02499,0.007877,0.01718,0.01679,0.3494,0.3131,
1.739,0.2796,0.129,0.04088,0.02771,0.05713,0.01545,0.02495,0.008079,0.01744,0.02218,0.3446,0.3126,
1.74,0.2822,0.1288,0.04074,0.02785,0.05734,0.01545,0.02517,0.008745,0.01656,0.02218,0.3446,0.3126,
1.738,0.2805,0.1288,0.04066,0.02737,0.05719,0.01545,0.02517,0.008747,0.01656,0.02219,0.3447,0.3132,
1.736,0.2936,0.1288,0.04059,0.02744,0.05719,0.01545,0.02539,0.01826,0.006829,0.02219,0.3447,0.3132,
1.736,0.296,0.1284,0.04064,0.02746,0.05709,0.01543,0.02534,0.01823,0.006817,0.02215,0.3458,0.3127,
1.74,0.3329,0.123,0.04571,0.02745,0.05699,0.01562,0.02508,0.0182,0.006805,0.02211,0.3469,0.3121,
1.741,0.3417,0.1228,0.04556,0.02755,0.0564,0.0156,0.02506,0.01839,0.006818,0.02263,0.3474,0.3118,
1.74,0.3471,0.1226,0.04566,0.0276,0.05582,0.01561,0.02508,0.0184,0.006823,0.02264,0.3478,0.312,
1.75,0.335,0.1224,0.04561,0.0276,0.05526,0.01558,0.02504,0.01838,0.006811,0.02719,0.3445,0.3117,
1.748,0.3439,0.1224,0.04558,0.02704,0.0551,0.01558,0.02505,0.01838,0.006812,0.0272,0.3445,0.3124,
1.746,0.336,0.1219,0.04545,0.02697,0.05491,0.01553,0.02496,0.01832,0.006788,0.0271,0.3468,0.3113,
1.756,0.3331,0.1215,0.04535,0.02698,0.05479,0.01551,0.02492,0.01857,0.00763,0.02979,0.3441,0.3108,
1.755,0.3342,0.1212,0.0453,0.02701,0.0547,0.01569,0.02467,0.01854,0.007617,0.02974,0.3452,0.3103,
