tick 180001.0,,,,,,,,,,,,,,,,,,,,,
endosome12Z,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome13Q,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,26.9461315,ycoor,25.31320024,,,,,,,,,,,,
endosome13Q,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome13Q,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome13Q,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome14r,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,26.78859278,ycoor,21.36866359,,,,,,,,,,,,
endosome14r,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome14r,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome14r,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome15b,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,26.84400051,ycoor,24.25213722,,,,,,,,,,,,
endosome15b,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome15b,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome15b,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome16p,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,21.90915626,ycoor,22.44295312,,,,,,,,,,,,
endosome16p,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome16p,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome16p,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome17E,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,24.58730074,ycoor,20.66599969,,,,,,,,,,,,
endosome17E,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome17E,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome17E,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome18c,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,23.78366181,ycoor,22.62119794,,,,,,,,,,,,
endosome18c,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome18c,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome18c,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome19V,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,24.97233522,ycoor,25.26864115,,,,,,,,,,,,
endosome19V,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome19V,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome19V,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome20O,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,23.12360589,ycoor,29.44802772,,,,,,,,,,,,
endosome20O,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome20O,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome20O,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome21f,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,26.44136869,ycoor,22.46569975,,,,,,,,,,,,
endosome21f,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
endosome21f,initMembraneContent,,,,,,,,,,,,,,,,,,,,
endosome21f,initSolubleContent,,,,,,,,,,,,,,,,,,,,
endosome22T,initOrgProp,area,7539.822369,volume,50265.48246,xcoor,25.50052926,ycoor,22.64818542,,,,,,,,,,,,
endosome22T,initRabContent,RabL,7539.822369,,,,,,,,,,,,,,,,,,
