entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.052,0.2279,0.2985,0.0709,0.05354,0.09783,0.04259,0.03078,0.02393,0.02663,0.02738,0.164,0.164,
1.751,0.2299,0.1643,0.03902,0.02947,0.05367,0.02344,0.01694,0.01317,0.01465,0.01507,0.3146,0.3157,
1.751,0.233,0.1641,0.03895,0.02947,0.0535,0.02346,0.01695,0.01318,0.01466,0.01507,0.3147,0.3159,
1.75,0.2295,0.164,0.03896,0.02948,0.05335,0.02346,0.01696,0.01318,0.01467,0.01508,0.3148,0.316,
1.75,0.2291,0.164,0.03897,0.02948,0.05302,0.02347,0.01696,0.01318,0.01467,0.01508,0.315,0.3162,
1.746,0.2295,0.1628,0.03892,0.02939,0.05296,0.02259,0.01694,0.01317,0.01465,0.01506,0.3162,0.3173,
1.744,0.2378,0.1626,0.03893,0.0294,0.05297,0.02207,0.01681,0.01317,0.01466,0.01507,0.3162,0.3181,
1.743,0.2605,0.1623,0.03881,0.02936,0.0529,0.02204,0.01679,0.01315,0.01464,0.01505,0.3174,0.3176,
1.743,0.2376,0.1613,0.03882,0.02937,0.05292,0.02204,0.0168,0.01316,0.01464,0.01505,0.3175,0.3185,
1.74,0.2412,0.1608,0.03877,0.02933,0.05284,0.02132,0.01677,0.01314,0.01462,0.01503,0.3186,0.3187,
1.739,0.2408,0.1603,0.03872,0.02929,0.05278,0.02129,0.01675,0.01312,0.0146,0.01501,0.3198,0.3183,
1.739,0.2379,0.1603,0.03873,0.02928,0.05264,0.02129,0.01675,0.01312,0.0146,0.015,0.3199,0.3184,
1.737,0.2374,0.1603,0.03873,0.02928,0.05264,0.0206,0.01675,0.01312,0.0146,0.015,0.3199,0.3191,
1.735,0.2389,0.16,0.03867,0.02924,0.05255,0.02039,0.01668,0.01304,0.01458,0.01497,0.321,0.3189,
1.735,0.2385,0.16,0.03867,0.02924,0.05255,0.02039,0.01668,0.01304,0.01458,0.01497,0.321,0.3189,
1.734,0.2435,0.1599,0.03867,0.02924,0.05256,0.02016,0.01663,0.01305,0.01458,0.01498,0.321,0.3192,
1.734,0.2398,0.1599,0.03867,0.02924,0.05256,0.01988,0.01663,0.01305,0.01458,0.01498,0.321,0.3195,
1.732,0.2404,0.1592,0.03856,0.02915,0.0524,0.01982,0.01658,0.01301,0.01454,0.01493,0.3233,0.3185,
1.73,0.231,0.1582,0.03845,0.02911,0.05223,0.01979,0.01655,0.01299,0.01452,0.01491,0.3244,0.3188,
1.729,0.23,0.1573,0.03837,0.02911,0.05224,0.0198,0.01656,0.01299,0.01452,0.01491,0.3245,0.3197,
1.729,0.2299,0.157,0.03838,0.02912,0.05225,0.01981,0.01656,0.013,0.01453,0.01492,0.3246,0.3198,
1.729,0.2301,0.157,0.03838,0.02912,0.05225,0.01981,0.01656,0.013,0.01453,0.01492,0.3246,0.3198,
1.729,0.2309,0.1565,0.0384,0.02914,0.05228,0.01982,0.01657,0.013,0.01454,0.01493,0.3248,0.32,
