entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.71,0.2662,0.1503,0.03744,0.02966,0.05122,0.01774,0.01739,0.01919,0.01169,0.009688,0.3382,0.3175,
1.71,0.2631,0.1501,0.03757,0.02954,0.051,0.01775,0.01762,0.01898,0.01169,0.009693,0.3384,0.3177,
1.697,0.2837,0.1499,0.03748,0.02863,0.0504,0.02918,0.006147,0.01896,0.01168,0.009682,0.3397,0.3182,
1.698,0.2934,0.1494,0.03728,0.02857,0.05057,0.02913,0.01753,0.007538,0.01166,0.009667,0.3409,0.3177,
1.695,0.2891,0.1491,0.03718,0.02855,0.05048,0.02837,0.01739,0.007525,0.01164,0.009651,0.342,0.318,
1.692,0.2895,0.1486,0.03714,0.02861,0.05052,0.02751,0.0174,0.007531,0.01217,0.009142,0.3423,0.3191,
1.689,0.3397,0.1485,0.03674,0.02868,0.05055,0.0267,0.01741,0.007535,0.01256,0.008763,0.3425,0.3201,
1.689,0.339,0.1479,0.03665,0.0287,0.05048,0.02666,0.01739,0.007796,0.01227,0.008751,0.3437,0.3197,
1.683,0.4428,0.04711,0.03672,0.02875,0.1511,0.02583,0.01739,0.007796,0.01249,0.00853,0.3437,0.3205,
1.68,0.4199,0.04637,0.03655,0.02876,0.1514,0.02578,0.0175,0.007643,0.01247,0.008485,0.345,0.3201,
1.678,0.4147,0.04621,0.03632,0.02878,0.1511,0.02546,0.01747,0.007632,0.01245,0.008471,0.3462,0.3199,
1.677,0.405,0.0461,0.03619,0.02883,0.1507,0.02543,0.0177,0.007362,0.01243,0.008458,0.3474,0.3194,
1.676,0.4105,0.04596,0.0362,0.02881,0.1502,0.02539,0.01768,0.00735,0.01278,0.008076,0.3486,0.319,
1.674,0.413,0.04528,0.03608,0.02887,0.1503,0.02535,0.01765,0.007338,0.01276,0.008063,0.3498,0.3185,
1.674,0.3998,0.04519,0.03611,0.02895,0.15,0.02553,0.01748,0.007341,0.01276,0.008066,0.35,0.3186,
1.674,0.385,0.04517,0.03606,0.02903,0.15,0.02553,0.01748,0.007341,0.01276,0.008066,0.35,0.3186,
1.686,0.3832,0.04476,0.036,0.02909,0.1503,0.02554,0.01749,0.007341,0.01277,0.01161,0.3465,0.3186,
1.684,0.3813,0.0446,0.03613,0.02912,0.1503,0.02472,0.01749,0.007341,0.01277,0.01161,0.3465,0.3195,
1.684,0.3897,0.04455,0.0362,0.02918,0.1497,0.02473,0.0175,0.007346,0.01315,0.01125,0.3467,0.3197,
