tick 1.0
endosome0x,initOrgProp,area,22483.93157,volume,194189.7229,xcoor,0.0,ycoor,0.0,
endosome0x,initRabContent,RabA,7162.83125,RabB,931.9154577,RabE,11875.91074,RabF,2513.274123,RabC,0.0
endosome0x,initMembraneContent,ovaEn,0.0,exCxEn,6.78E-4,R-TfaEn,2.22E-37,oMHCIEn,3.34E-5,membraneMarker,0.0,cMHCIEn,0.068051882,pepMHCIEn,0.0,REn,0.001055254,imCxEn,6.78E-4
endosome0x,initSolubleContent,mvb,0.0,protonEn,11.24685234,pepEn,0.0,TfaEn,1.44E-4,solubleMarker,0.0
endosome1M,initOrgProp,area,12478.62696,volume,106335.356,xcoor,0.0,ycoor,0.0,
endosome1M,initRabContent,RabC,12478.62696
endosome1M,initMembraneContent,ovaEn,0.0,exCxEn,0.004657661,R-TfaEn,4.05E-36,oMHCIEn,0.056068369,membraneMarker,0.0,cMHCIEn,1.319662396,pepMHCIEn,0.0,REn,0.019264587,imCxEn,0.004657661
endosome1M,initSolubleContent,mvb,0.0,protonEn,5.774823534,pepEn,0.0,TfaEn,9.75E-5,solubleMarker,0.0
endosome2s,initOrgProp,area,16240.84777,volume,144015.7176,xcoor,0.0,ycoor,0.0,
endosome2s,initRabContent,RabE,16240.84777
endosome2s,initMembraneContent,ovaEn,0.0,exCxEn,3.72E-4,R-TfaEn,1.68E-38,oMHCIEn,7.2E-5,membraneMarker,0.0,cMHCIEn,0.005286752,pepMHCIEn,0.0,REn,7.98E-5,imCxEn,3.72E-4
endosome2s,initSolubleContent,mvb,0.0,protonEn,6.740535675,pepEn,0.0,TfaEn,3.63E-5,solubleMarker,0.0
endosome3b,initOrgProp,area,21707.26945,volume,186187.6163,xcoor,0.0,ycoor,0.0,
endosome3b,initRabContent,RabA,21707.26945
endosome3b,initMembraneContent,ovaEn,0.0,exCxEn,6.66E-5,R-TfaEn,6.92E-39,oMHCIEn,1.1E-5,membraneMarker,0.0,cMHCIEn,0.002289522,pepMHCIEn,0.0,REn,3.3E-5,imCxEn,6.66E-5
endosome3b,initSolubleContent,mvb,0.0,protonEn,10.00070191,pepEn,0.0,TfaEn,2.04E-4,solubleMarker,0.0
endosome4j,initOrgProp,area,21461.4539,volume,225509.1069,xcoor,0.0,ycoor,0.0,
endosome4j,initRabContent,RabC,21461.4539
endosome4j,initMembraneContent,ovaEn,0.0,exCxEn,0.011648538,R-TfaEn,7.31E-36,oMHCIEn,0.184813848,membraneMarker,0.0,cMHCIEn,2.298632388,pepMHCIEn,0.0,REn,0.034808633,imCxEn,0.011648538
endosome4j,initSolubleContent,mvb,0.0,protonEn,14.8625916,pepEn,0.0,TfaEn,2.37E-4,solubleMarker,0.0
endosome5q,initOrgProp,area,14381.36592,volume,122482.2139,xcoor,0.0,ycoor,0.0,
endosome5q,initRabContent,RabA,7539.822369,RabB,5221.512629,RabC,1620.030925
endosome5q,initMembraneContent,ovaEn,0.0,exCxEn,0.006099718,R-TfaEn,1.88E-36,oMHCIEn,0.002495201,membraneMarker,0.0,cMHCIEn,0.601251017,pepMHCIEn,0.0,REn,0.008944543,imCxEn,0.006099718
endosome5q,initSolubleContent,mvb,0.0,protonEn,6.728498719,pepEn,0.0,TfaEn,1.32E-4,solubleMarker,0.0
endosome6T,initOrgProp,area,12332.82314,volume,105124.5378,xcoor,0.0,ycoor,0.0,
endosome6T,initRabContent,RabB,11839.51021,RabC,493.3129254
endosome6T,initMembraneContent,ovaEn,0.0,exCxEn,0.002107853,R-TfaEn,2.38E-36,oMHCIEn,1.97E-5,membraneMarker,0.0,cMHCIEn,0.765756773,pepMHCIEn,0.0,REn,0.011356898,imCxEn,0.002107853
endosome6T,initSolubleContent,mvb,0.0,protonEn,5.050859868,pepEn,0.0,TfaEn,5.73E-5,solubleMarker,0.0
endosome7a,initOrgProp,area,18782.88955,volume,165159.3191,xcoor,0.0,ycoor,0.0,
endosome7a,initRabContent,RabE,0.0,RabC,18782.88955
endosome7a,initMembraneContent,ovaEn,0.0,exCxEn,0.01954897,R-TfaEn,8.63E-36,oMHCIEn,0.112799836,membraneMarker,0.0,cMHCIEn,2.842136652,pepMHCIEn,0.0,REn,0.041084476,imCxEn,0.01954897
endosome7a,initSolubleContent,mvb,0.0,protonEn,12.31319024,pepEn,0.0,TfaEn,1.71E-4,solubleMarker,0.0
endosome8b,initOrgProp,area,14303.3968,volume,122333.2497,xcoor,0.0,ycoor,0.0,
endosome8b,initRabContent,RabE,14303.3968
endosome8b,initMembraneContent,ovaEn,0.0,exCxEn,6.54E-5,R-TfaEn,6.75E-39,oMHCIEn,1.07E-4,membraneMarker,0.0,cMHCIEn,0.001981812,pepMHCIEn,0.0,REn,3.21E-5,imCxEn,6.54E-5
endosome8b,initSolubleContent,mvb,0.0,protonEn,5.5494483,pepEn,0.0,TfaEn,8.12E-5,solubleMarker,0.0
endosome9x,initOrgProp,area,18957.92268,volume,165124.1296,xcoor,0.0,ycoor,0.0,
endosome9x,initRabContent,RabE,18957.92268,RabC,0.0
endosome9x,initMembraneContent,ovaEn,0.0,exCxEn,5.82E-5,R-TfaEn,6.35E-39,oMHCIEn,7.63E-5,membraneMarker,0.0,cMHCIEn,0.002059899,pepMHCIEn,0.0,REn,3.03E-5,imCxEn,5.82E-5
endosome9x,initSolubleContent,mvb,0.0,protonEn,9.6547445,pepEn,0.0,TfaEn,1.35E-4,solubleMarker,0.0
endosome10W,initOrgProp,area,22619.46711,volume,201061.9298,xcoor,0.0,ycoor,0.0,
endosome10W,initRabContent,RabI,22619.46711
endosome10W,initMembraneContent,
endosome10W,initSolubleContent,protonEn,8.002264807
