R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
4.0000000000000004E-36,0.019,1900.0,3900.0,2700.0,3799999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.13,3799999.9999999995,1.2,0.061,0.061,0.0,270.0,0.031,0.0,0.0,0.0,5100.0,1.0,6.9E8,
4.0000000000000004E-36,0.019,1900.0,3900.0,2700.0,3799999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.12,3799999.9999999995,1.2,0.061,0.061,0.0,250.0,0.031,0.0,0.0,0.0,5000.0,1.0,6.9E8,
3.9E-36,0.019,1900.0,3900.0,2700.0,3699999.9999999995,4200.0,1200.0,210.0,3000.0,5900.0,0.12,3699999.9999999995,1.2,0.06,0.06,0.0,240.0,0.031,0.0,0.0,0.0,4800.0,1.0,6.8E8,
2.2E-36,0.011,2900.0,3300.0,600.0,4400000.0,1500.0,1200.0,180.0,5800.0,6800.0,0.14,4400000.0,0.7,0.086,0.086,0.0,360.0,0.058,0.0,0.0,0.0,5700.0,1.0,7.0E8,
2.2E-36,0.01,2900.0,3300.0,590.0,4200000.0,1500.0,1200.0,180.0,5700.0,6700.0,0.14,4300000.0,0.68,0.085,0.085,0.0,340.0,0.055,0.0,0.0,0.0,5500.0,1.0,7.0E8,
2.1000000000000002E-36,0.01,2800.0,3200.0,580.0,3999999.9999999995,1500.0,1200.0,180.0,5600.0,6600.0,0.13,3999999.9999999995,0.66,0.082,0.082,0.0,340.0,0.053,0.0,0.0,0.0,5300.0,1.0,7.0E8,
2.0000000000000002E-36,0.0096,2800.0,3200.0,580.0,3799999.9999999995,1500.0,1200.0,180.0,5600.0,6500.0,0.13,3799999.9999999995,0.63,0.08,0.08,0.0,340.0,0.05,0.0,0.0,0.0,5200.0,1.0,7.0E8,
2.0000000000000002E-36,0.0096,2800.0,3200.0,580.0,3799999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.08,0.08,0.0,320.0,0.05,0.0,0.0,0.0,5000.0,1.0,6.9E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,290.0,0.05,0.0,0.0,0.0,4800.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,280.0,0.05,0.0,0.0,0.0,4700.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,280.0,0.05,0.0,0.0,0.0,4700.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,280.0,0.05,0.0,0.0,0.0,4700.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,280.0,0.05,0.0,0.0,0.0,4700.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,280.0,0.05,0.0,0.0,0.0,4700.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,270.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,270.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.12,3799999.9999999995,0.63,0.079,0.079,0.0,270.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.11,3799999.9999999995,0.63,0.079,0.079,0.0,260.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.11,3799999.9999999995,0.63,0.079,0.079,0.0,260.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.11,3799999.9999999995,0.63,0.079,0.079,0.0,260.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
2.0000000000000002E-36,0.0095,2800.0,3200.0,570.0,3699999.9999999995,1500.0,1200.0,170.0,5500.0,6500.0,0.11,3799999.9999999995,0.63,0.079,0.079,0.0,260.0,0.05,0.0,0.0,0.0,4600.0,1.0,6.8E8,
