RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
2.145E7,4704000.0,4142000.0,4411000.0,1217000.0,402400.0,417800.0,390200.0,1293000.0,0.0,6.001E7,6.009E7,
2.138E7,4715000.0,4148000.0,4417000.0,1217000.0,402300.0,417700.0,390100.0,1293000.0,0.0,6.001E7,6.009E7,
2.126E7,4763000.0,4153000.0,4447000.0,1205000.0,402200.0,417600.0,390000.0,1292000.0,0.0,6.001E7,6.012E7,
2.134E7,4760000.0,4158000.0,4475000.0,1205000.0,402200.0,423700.0,384000.0,1397000.0,0.0,6.001E7,5.995E7,
2.12E7,4753000.0,4167000.0,4504000.0,1205000.0,408300.0,417600.0,384000.0,1500000.0,0.0,6.001E7,6.0E7,
2.114E7,4749000.0,4170000.0,4526000.0,1209000.0,403600.0,417600.0,384000.0,1603000.0,0.0,6.001E7,6.003E7,
2.101E7,4776000.0,4158000.0,4546000.0,1218000.0,394500.0,417600.0,384000.0,1603000.0,0.0,6.001E7,6.011E7,
2.089E7,4788000.0,4161000.0,4563000.0,1228000.0,384300.0,417600.0,383800.0,1603000.0,0.0,6.001E7,6.018E7,
2.079E7,4795000.0,4167000.0,4585000.0,1224000.0,383200.0,416300.0,382200.0,1603000.0,0.0,6.001E7,6.019E7,
2.063E7,4820000.0,4173000.0,4638000.0,1217000.0,389200.0,410200.0,382200.0,1603000.0,0.0,6.001E7,6.025E7,
2.054E7,4808000.0,4181000.0,4685000.0,1223000.0,383200.0,410200.0,382200.0,1590000.0,0.0,6.001E7,6.027E7,
2.048E7,4817000.0,4184000.0,4706000.0,1223000.0,383200.0,410200.0,396300.0,1576000.0,0.0,6.001E7,6.029E7,
2.069E7,4842000.0,4187000.0,4733000.0,1223000.0,386900.0,406300.0,428400.0,1696000.0,0.0,6.001E7,5.999E7,
2.059E7,4868000.0,4190000.0,4730000.0,1233000.0,550700.0,232200.0,434300.0,1722000.0,0.0,6.001E7,6.001E7,
2.045E7,4873000.0,4174000.0,4774000.0,1233000.0,550700.0,232200.0,434300.0,1722000.0,0.0,6.001E7,6.007E7,
2.034E7,4875000.0,4180000.0,4796000.0,1236000.0,547600.0,232200.0,434300.0,1722000.0,0.0,6.001E7,6.009E7,
2.024E7,4887000.0,4186000.0,4822000.0,1236000.0,547300.0,232100.0,448500.0,1708000.0,0.0,6.001E7,6.01E7,
2.028E7,4890000.0,4190000.0,4853000.0,1239000.0,544200.0,232100.0,448500.0,1767000.0,0.0,6.001E7,6.0E7,
2.018E7,4913000.0,4197000.0,4881000.0,1239000.0,544200.0,232100.0,448400.0,1754000.0,0.0,6.001E7,6.003E7,
2.016E7,4918000.0,4205000.0,4900000.0,1225000.0,544200.0,232100.0,460500.0,1745000.0,0.0,6.001E7,6.0E7,
2.014E7,4946000.0,4200000.0,4912000.0,1433000.0,329400.0,236900.0,467700.0,1749000.0,0.0,6.001E7,6.0E7,
2.005E7,4946000.0,4204000.0,4958000.0,1433000.0,329400.0,236900.0,467700.0,1749000.0,0.0,6.001E7,6.001E7,
1.995E7,4948000.0,4204000.0,4979000.0,1433000.0,329400.0,236900.0,460200.0,1735000.0,0.0,6.001E7,6.007E7,
1.996E7,4954000.0,4205000.0,4997000.0,1425000.0,329400.0,236900.0,460200.0,1874000.0,0.0,6.001E7,6.0E7,
1.987E7,4961000.0,4203000.0,5065000.0,1431000.0,323700.0,236900.0,466200.0,1868000.0,0.0,6.001E7,6.002E7,
1.98E7,4979000.0,4208000.0,5061000.0,1397000.0,329700.0,230800.0,466200.0,1868000.0,0.0,6.001E7,6.009E7,
1.961E7,4962000.0,4215000.0,5044000.0,1397000.0,329700.0,230800.0,466200.0,1852000.0,0.0,6.001E7,6.026E7,
1.983E7,4960000.0,4222000.0,5051000.0,1397000.0,329700.0,230800.0,513700.0,1968000.0,0.0,6.001E7,6.001E7,
1.968E7,4975000.0,4220000.0,5035000.0,1385000.0,329600.0,230800.0,536200.0,1946000.0,0.0,6.001E7,6.012E7,
1.975E7,4979000.0,4219000.0,5088000.0,1389000.0,324700.0,238900.0,538700.0,2020000.0,0.0,6.001E7,5.998E7,
1.962E7,5027000.0,4223000.0,5153000.0,1392000.0,321700.0,238900.0,544700.0,2014000.0,0.0,6.001E7,5.998E7,
1.949E7,5037000.0,4231000.0,5177000.0,1380000.0,316800.0,238900.0,555500.0,2003000.0,0.0,6.001E7,6.006E7,
1.944E7,5027000.0,4239000.0,5202000.0,1361000.0,316800.0,238800.0,611000.0,1947000.0,0.0,6.001E7,6.008E7,
1.931E7,5022000.0,4220000.0,5234000.0,1353000.0,316800.0,238800.0,611000.0,1947000.0,0.0,6.001E7,6.018E7,
1.951E7,5035000.0,4224000.0,5229000.0,1363000.0,307400.0,238800.0,633000.0,2083000.0,0.0,6.001E7,5.994E7,
1.942E7,5049000.0,4227000.0,5274000.0,1358000.0,306200.0,237300.0,648800.0,2063000.0,0.0,6.001E7,5.995E7,
1.935E7,5052000.0,4231000.0,5261000.0,1358000.0,306200.0,237300.0,654900.0,2082000.0,0.0,6.001E7,6.001E7,
1.928E7,5070000.0,4236000.0,5268000.0,1358000.0,306200.0,237300.0,654900.0,2096000.0,0.0,6.001E7,6.002E7,
1.917E7,5160000.0,4241000.0,5272000.0,1340000.0,312200.0,231300.0,654900.0,2096000.0,0.0,6.001E7,6.004E7,
1.914E7,5164000.0,4250000.0,5316000.0,1311000.0,309700.0,231300.0,671500.0,2087000.0,0.0,6.001E7,6.002E7,
1.907E7,5173000.0,4251000.0,5341000.0,1304000.0,309500.0,231100.0,671300.0,2087000.0,0.0,6.001E7,6.004E7,
1.896E7,5147000.0,4236000.0,5391000.0,1280000.0,307900.0,223700.0,670100.0,2081000.0,0.0,6.001E7,6.016E7,
1.902E7,5154000.0,4235000.0,5392000.0,1280000.0,307900.0,223700.0,683100.0,2149000.0,0.0,6.001E7,6.009E7,
1.631E7,5177000.0,4238000.0,8194000.0,1290000.0,297100.0,229700.0,677100.0,2178000.0,0.0,6.001E7,5.994E7,
1.62E7,5192000.0,4242000.0,8196000.0,1290000.0,297000.0,229700.0,683100.0,2172000.0,0.0,6.001E7,5.998E7,
1.611E7,5210000.0,4247000.0,8206000.0,1290000.0,297000.0,229700.0,683100.0,2172000.0,0.0,6.001E7,6.001E7,
1.604E7,5233000.0,4250000.0,8242000.0,1296000.0,291000.0,229700.0,683100.0,2230000.0,0.0,6.001E7,5.999E7,
1.599E7,5242000.0,4255000.0,8260000.0,1296000.0,291000.0,229700.0,683100.0,2252000.0,0.0,6.001E7,5.999E7,
1.591E7,5238000.0,4250000.0,8257000.0,1293000.0,290000.0,228500.0,681600.0,2240000.0,0.0,6.001E7,6.007E7,
1.585E7,5250000.0,4251000.0,8237000.0,1292000.0,290000.0,228400.0,687500.0,2234000.0,0.0,6.001E7,6.01E7,
