entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.427,0.2059,0.1363,0.0296,0.02618,0.02749,0.00769,0.002574,0.002635,0.002391,0.008058,0.0,0.3785,0.3786,
1.428,0.2107,0.1353,0.02968,0.02613,0.02782,0.007679,0.002539,0.002636,0.002461,0.008154,0.0,0.3785,0.3791,
1.428,0.2115,0.1349,0.02975,0.02617,0.02787,0.00768,0.002539,0.002636,0.002461,0.008156,0.0,0.3786,0.3792,
1.428,0.2224,0.1341,0.03006,0.02621,0.02807,0.007602,0.002538,0.002636,0.002461,0.008157,0.0,0.3787,0.3794,
1.431,0.2083,0.1346,0.03003,0.02623,0.02823,0.0076,0.002538,0.002673,0.002423,0.008812,0.0,0.3786,0.3782,
1.433,0.2068,0.1337,0.02998,0.02628,0.02841,0.007598,0.002575,0.002634,0.002422,0.009461,0.0,0.3785,0.3784,
1.435,0.206,0.1332,0.02994,0.02629,0.02853,0.007623,0.002544,0.002633,0.002421,0.0101,0.0,0.3783,0.3784,
1.435,0.2111,0.1324,0.03011,0.02622,0.02866,0.007681,0.002487,0.002633,0.002421,0.01011,0.0,0.3783,0.3789,
1.435,0.2114,0.1317,0.03019,0.02623,0.02877,0.007745,0.002423,0.002633,0.00242,0.01011,0.0,0.3784,0.3794,
1.434,0.2115,0.1311,0.03024,0.02629,0.02892,0.007722,0.002417,0.002626,0.002411,0.01011,0.0,0.3785,0.3796,
1.435,0.2239,0.1301,0.0304,0.02633,0.02926,0.007676,0.002455,0.002588,0.002411,0.01011,0.0,0.3785,0.3801,
1.434,0.2194,0.1296,0.03034,0.02638,0.02956,0.007716,0.002418,0.002589,0.002412,0.01003,0.0,0.3786,0.3803,
1.435,0.2176,0.1292,0.0304,0.0264,0.0297,0.007716,0.002418,0.002589,0.002501,0.009946,0.0,0.3787,0.3805,
1.44,0.2168,0.1305,0.03053,0.0264,0.02985,0.00771,0.00244,0.002562,0.002701,0.01069,0.0,0.3784,0.3783,
1.441,0.2188,0.1298,0.0307,0.02643,0.02983,0.007774,0.003473,0.001465,0.002739,0.01086,0.0,0.3784,0.3785,
1.44,0.2214,0.129,0.03074,0.02633,0.03012,0.007776,0.003474,0.001465,0.00274,0.01086,0.0,0.3785,0.3789,
1.44,0.2251,0.1284,0.03076,0.02638,0.03027,0.007798,0.003456,0.001465,0.002741,0.01087,0.0,0.3787,0.3792,
1.44,0.2225,0.1278,0.03085,0.02642,0.03044,0.0078,0.003455,0.001465,0.002831,0.01078,0.0,0.3788,0.3794,
1.442,0.2207,0.128,0.03086,0.02644,0.03063,0.007818,0.003435,0.001465,0.00283,0.01115,0.0,0.3787,0.3787,
1.442,0.2291,0.1274,0.03101,0.02649,0.03081,0.007819,0.003435,0.001465,0.002831,0.01107,0.0,0.3788,0.3789,
1.443,0.2303,0.1273,0.03105,0.02655,0.03093,0.007736,0.003435,0.001465,0.002907,0.01102,0.0,0.3788,0.3788,
1.442,0.2295,0.1271,0.03122,0.02651,0.03101,0.009044,0.002079,0.001496,0.002953,0.01104,0.0,0.3788,0.3787,
1.442,0.2322,0.1266,0.03122,0.02654,0.0313,0.009045,0.00208,0.001496,0.002953,0.01104,0.0,0.3788,0.3789,
