R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.4E-5,0.031,0.031,0.0,490.0,8.6,0.0,0.0,0.0,2.0E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.8E-5,0.031,0.031,0.0,450.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,3.7E-5,0.031,0.031,0.0,440.0,8.6,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.1E-37,0.0096,3900.0,850.0,4000.0,5100000.0,4500.0,1600.0,2100.0,240.0,2500.0,0.19,5100000.0,3.2E-5,0.033,0.033,0.0,470.0,7.0,0.0,0.0,0.0,1.9E7,1.0,7.2E8,
1.0E-37,0.0091,3800.0,830.0,3900.0,4800000.0,4500.0,1500.0,2000.0,230.0,2400.0,0.19,4800000.0,3.4E-5,0.032,0.032,0.0,460.0,6.7,0.0,0.0,0.0,1.8E7,1.0,7.2E8,
9.400000000000001E-38,0.0085,3800.0,830.0,3900.0,4099999.9999999995,4400.0,1500.0,2000.0,230.0,2400.0,0.18,4200000.0,3.5E-5,0.029,0.029,0.0,440.0,6.2,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
4.4E-37,0.05,1800.0,25000.0,5900.0,5000000.0,4400.0,1500.0,2000.0,230.0,2400.0,0.18,5000000.0,2.4E-5,0.063,0.063,0.0,440.0,12.0,0.0,0.0,0.0,1.7E7,1.0,7.3E8,
1.9E-37,0.022,1700.0,5200.0,5800.0,4700000.0,4300.0,1500.0,2000.0,230.0,2400.0,0.18,4800000.0,7.5E-5,0.049,0.049,0.0,420.0,11.0,0.0,0.0,0.0,1.7E7,1.0,7.3E8,
1.8E-37,0.021,1700.0,5100.0,5800.0,4200000.0,4300.0,1500.0,1900.0,220.0,2300.0,0.17,4300000.0,7.7E-5,0.046,0.046,0.0,420.0,11.0,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3899999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,7.9E-5,0.043,0.043,0.0,410.0,10.0,0.0,0.0,0.0,1.6E7,1.0,7.2E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,7.7E-5,0.043,0.043,0.0,380.0,10.0,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,6.9E-5,0.043,0.043,0.0,380.0,10.0,0.0,0.0,0.0,1.6E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,5.8E-5,0.043,0.043,0.0,380.0,10.0,0.0,0.0,0.0,1.7E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,4.8E-5,0.043,0.043,0.0,380.0,10.0,0.0,0.0,0.0,1.9E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.9E-5,0.043,0.043,0.0,380.0,10.0,0.0,0.0,0.0,2.0E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.2E-5,0.043,0.043,0.0,370.0,10.0,0.0,0.0,0.0,2.2E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.6E-5,0.043,0.043,0.0,370.0,10.0,0.0,0.0,0.0,2.3E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.1E-5,0.043,0.043,0.0,370.0,10.0,0.0,0.0,0.0,2.5E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.2E-5,0.043,0.043,0.0,370.0,10.0,0.0,0.0,0.0,2.5E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.5E-5,0.043,0.043,0.0,370.0,10.0,0.0,0.0,0.0,2.3E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.5E-5,0.043,0.043,0.0,360.0,10.0,0.0,0.0,0.0,2.3E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.3E-5,0.043,0.043,0.0,360.0,10.0,0.0,0.0,0.0,2.4E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.1E-5,0.043,0.043,0.0,350.0,10.0,0.0,0.0,0.0,2.5E7,1.0,7.1E8,
1.8E-37,0.02,1700.0,5100.0,5700.0,3799999.9999999995,4200.0,1500.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.8E-5,0.043,0.043,0.0,350.0,10.0,0.0,0.0,0.0,2.6E7,1.0,7.1E8,
