entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
1.553,0.1957,0.03967,0.01869,0.01384,0.04089,0.00906,0.02868,0.02677,0.01641,0.01969,0.00824,0.3887,0.3893,
1.557,0.2104,0.04029,0.01861,0.01386,0.04112,0.009072,0.0286,0.02669,0.01675,0.02017,0.00825,0.3884,0.3882,
1.557,0.1901,0.03986,0.01867,0.01385,0.04102,0.008859,0.03228,0.02286,0.01678,0.02113,0.008269,0.3882,0.3882,
1.557,0.1804,0.03928,0.01889,0.01385,0.04106,0.008778,0.03225,0.02281,0.01688,0.02164,0.008259,0.388,0.3883,
1.558,0.1848,0.03945,0.01886,0.01385,0.04106,0.00876,0.03221,0.02285,0.01695,0.02181,0.008273,0.3879,0.388,
1.557,0.2111,0.03903,0.01896,0.01378,0.0411,0.008841,0.03214,0.02295,0.01711,0.0215,0.008268,0.3881,0.3882,
1.557,0.2037,0.03879,0.01893,0.01379,0.04116,0.008867,0.03208,0.02291,0.01743,0.02106,0.008313,0.3882,0.3884,
1.556,0.1907,0.03857,0.01899,0.01383,0.04119,0.008987,0.03197,0.02292,0.01762,0.02065,0.008316,0.3884,0.3886,
1.555,0.2004,0.0382,0.01922,0.01387,0.04128,0.008989,0.03201,0.02576,0.01495,0.02035,0.008318,0.3884,0.3886,
1.554,0.2155,0.03794,0.01927,0.01375,0.04139,0.008903,0.03209,0.02571,0.01518,0.01998,0.008324,0.3885,0.389,
1.555,0.2316,0.03822,0.01936,0.01376,0.04133,0.008933,0.03201,0.02571,0.0155,0.01984,0.008322,0.3885,0.3885,
1.557,0.2096,0.03828,0.01938,0.01362,0.04138,0.008966,0.03195,0.02569,0.01572,0.02032,0.008334,0.3883,0.3881,
1.557,0.1949,0.03785,0.01951,0.01365,0.04158,0.008968,0.032,0.02572,0.0158,0.02005,0.008331,0.3884,0.3882,
1.557,0.1985,0.03751,0.01963,0.01366,0.0416,0.008834,0.03195,0.02577,0.01582,0.02036,0.008345,0.3883,0.3882,
1.557,0.2096,0.0373,0.01964,0.01368,0.04156,0.00911,0.03169,0.02578,0.01625,0.01984,0.008347,0.3884,0.3884,
1.559,0.202,0.0372,0.01947,0.01365,0.04138,0.009101,0.03174,0.02567,0.01632,0.02102,0.008332,0.388,0.3881,
1.558,0.2386,0.03694,0.01954,0.01352,0.04142,0.009181,0.03174,0.02564,0.01636,0.02094,0.008349,0.3881,0.3883,
1.56,0.1993,0.03734,0.01969,0.01346,0.04136,0.009138,0.03168,0.02568,0.0165,0.02107,0.008342,0.3881,0.3877,
1.557,0.2398,0.03698,0.01979,0.01347,0.04146,0.00925,0.03792,0.01935,0.0165,0.02096,0.008357,0.3882,0.3878,
1.555,0.2493,0.0368,0.01974,0.01348,0.04147,0.009126,0.03793,0.02097,0.01499,0.02075,0.008379,0.3883,0.3881,
1.554,0.1912,0.03654,0.01972,0.0135,0.04155,0.009017,0.03801,0.02088,0.01496,0.02058,0.008401,0.3884,0.3884,
1.552,0.1869,0.03624,0.01977,0.01353,0.04139,0.009012,0.03799,0.02089,0.01496,0.02041,0.008397,0.3886,0.3888,
1.552,0.1961,0.03608,0.01989,0.01359,0.04137,0.009015,0.03804,0.02086,0.01497,0.02008,0.008378,0.3888,0.3889,
1.551,0.1926,0.03589,0.01991,0.01361,0.04151,0.008982,0.03802,0.02082,0.01557,0.01948,0.00839,0.3888,0.389,
1.551,0.1903,0.03512,0.01989,0.01361,0.04214,0.009022,0.03799,0.02086,0.01574,0.01928,0.008434,0.3888,0.3891,
1.551,0.2031,0.03531,0.02003,0.01362,0.0421,0.008876,0.03796,0.02092,0.01579,0.01905,0.008456,0.3889,0.3889,
1.55,0.2041,0.03482,0.02015,0.01364,0.04225,0.008764,0.03797,0.02093,0.01589,0.01897,0.008458,0.389,0.3891,
1.551,0.2319,0.0348,0.02016,0.01364,0.04234,0.008797,0.03794,0.02087,0.01601,0.01914,0.008456,0.389,0.3889,
1.551,0.2313,0.03407,0.02023,0.01365,0.04289,0.008837,0.03797,0.02081,0.01653,0.01863,0.008448,0.389,0.3889,
1.551,0.2467,0.03369,0.02027,0.01365,0.043,0.008877,0.03793,0.02091,0.01643,0.01863,0.008442,0.389,0.3891,
1.553,0.2045,0.03381,0.02023,0.01364,0.04289,0.008902,0.03791,0.02086,0.01666,0.0193,0.008434,0.3888,0.3886,
1.558,0.2011,0.0336,0.02028,0.01365,0.04287,0.01322,0.03344,0.02087,0.01682,0.01914,0.008442,0.3889,0.3888,
1.557,0.2049,0.03337,0.02023,0.01368,0.043,0.01326,0.0334,0.02091,0.01678,0.01914,0.008418,0.3889,0.3889,
1.558,0.1974,0.03332,0.02035,0.01368,0.04317,0.01316,0.03342,0.02088,0.01697,0.01925,0.008415,0.3888,0.3886,
1.557,0.1975,0.03315,0.02042,0.01371,0.04302,0.01319,0.03336,0.02087,0.01705,0.01884,0.00841,0.389,0.389,
1.556,0.2252,0.03297,0.02041,0.01373,0.04308,0.01295,0.03334,0.02088,0.01742,0.01847,0.008409,0.389,0.3893,
1.553,0.2166,0.03283,0.02028,0.0137,0.04312,0.01232,0.03335,0.02088,0.01765,0.01825,0.008385,0.3891,0.3901,
1.546,0.1915,0.03224,0.02028,0.01372,0.04357,0.0104,0.03332,0.02088,0.0181,0.01781,0.008401,0.3892,0.3921,
1.553,0.2335,0.0351,0.02026,0.01374,0.04352,0.01034,0.03311,0.02087,0.01816,0.01829,0.008382,0.389,0.3892,
1.556,0.2076,0.03547,0.02025,0.01373,0.04335,0.01033,0.03318,0.0208,0.01811,0.01904,0.008407,0.3888,0.3885,
1.556,0.2111,0.03512,0.02018,0.01372,0.04346,0.01037,0.03322,0.02073,0.01824,0.01907,0.008401,0.3889,0.3886,
1.557,0.2101,0.03479,0.02014,0.01372,0.0436,0.01018,0.03319,0.02071,0.01822,0.02012,0.008407,0.3885,0.3884,
1.558,0.195,0.03493,0.02009,0.01364,0.0435,0.01017,0.03314,0.0207,0.01821,0.02052,0.008418,0.3884,0.3883,
1.557,0.1967,0.0346,0.02008,0.01357,0.04344,0.01022,0.03309,0.02071,0.01829,0.02045,0.008438,0.3884,0.3887,
1.561,0.1875,0.03475,0.02,0.01357,0.04343,0.01021,0.03304,0.02067,0.0183,0.02201,0.008438,0.3879,0.3877,
1.567,0.2005,0.0349,0.02005,0.01349,0.04336,0.02027,0.02268,0.02073,0.01824,0.02216,0.008455,0.3879,0.3878,
1.567,0.1952,0.03473,0.02,0.01348,0.04326,0.02027,0.02272,0.0207,0.01825,0.02217,0.008455,0.388,0.388,
1.565,0.2258,0.03457,0.01998,0.01349,0.04333,0.02014,0.02266,0.0207,0.01851,0.02175,0.008471,0.3881,0.3883,
1.566,0.1927,0.03485,0.01996,0.0135,0.04332,0.02006,0.02266,0.02081,0.01874,0.02147,0.008469,0.3881,0.3881,
1.565,0.1869,0.03475,0.01992,0.01351,0.04322,0.01997,0.02267,0.02088,0.0188,0.02136,0.008471,0.3882,0.3882,
1.564,0.1884,0.03459,0.01989,0.01342,0.04328,0.01973,0.02267,0.02088,0.0188,0.02125,0.008474,0.3883,0.3887,
1.565,0.1907,0.03491,0.01979,0.0134,0.04322,0.01946,0.02266,0.02092,0.01879,0.02202,0.008476,0.3881,0.3882,
1.565,0.1847,0.03507,0.01983,0.01339,0.04315,0.01856,0.02265,0.02091,0.01912,0.02239,0.008483,0.3879,0.3885,
1.564,0.2009,0.03461,0.01997,0.01343,0.04339,0.01831,0.02262,0.02091,0.01922,0.0223,0.008465,0.3879,0.3889,
1.563,0.2172,0.03441,0.01995,0.01343,0.04335,0.01809,0.02266,0.02087,0.01948,0.02204,0.008466,0.388,0.3892,
1.566,0.1907,0.03558,0.02003,0.01344,0.04327,0.01801,0.02266,0.02091,0.01944,0.02231,0.008461,0.388,0.3879,
1.565,0.1847,0.03551,0.02001,0.01346,0.04321,0.01776,0.02266,0.02091,0.01945,0.02232,0.008468,0.3881,0.3882,
1.567,0.1994,0.0361,0.01996,0.01346,0.04321,0.01742,0.02265,0.02091,0.01981,0.02247,0.008458,0.3879,0.3877,
1.566,0.185,0.0359,0.01995,0.01349,0.04328,0.01721,0.0227,0.02097,0.01987,0.02232,0.008447,0.388,0.3879,
1.569,0.1907,0.03588,0.02007,0.01349,0.04319,0.01704,0.0227,0.02089,0.02007,0.0233,0.008464,0.3875,0.3874,
1.569,0.1932,0.03602,0.02007,0.01349,0.0432,0.01667,0.02278,0.02081,0.02025,0.02332,0.008457,0.3875,0.3874,
1.568,0.183,0.03583,0.02007,0.01341,0.0431,0.01671,0.02275,0.02082,0.02057,0.02293,0.008443,0.3877,0.3877,
1.562,0.2074,0.03579,0.02003,0.01342,0.04359,0.01623,0.03338,0.01014,0.02068,0.0233,0.008447,0.3875,0.3874,
1.56,0.1929,0.03569,0.02005,0.01344,0.04358,0.01588,0.03338,0.01019,0.02062,0.0232,0.008451,0.3876,0.3879,
1.56,0.1939,0.03557,0.02007,0.01346,0.0435,0.01579,0.03338,0.01019,0.02073,0.02309,0.008467,0.3877,0.3881,
1.558,0.2056,0.03511,0.0202,0.01348,0.04356,0.01575,0.03345,0.01015,0.02096,0.02258,0.00847,0.3879,0.3884,
1.557,0.2127,0.03491,0.02027,0.01348,0.04355,0.01553,0.03339,0.01021,0.02091,0.02246,0.008473,0.388,0.3888,
1.556,0.2065,0.03471,0.02028,0.01353,0.04353,0.01524,0.0334,0.01021,0.02114,0.02225,0.008437,0.3881,0.3891,
1.555,0.2084,0.03453,0.02025,0.01354,0.04352,0.01515,0.03348,0.01019,0.02151,0.02176,0.008453,0.3883,0.3894,
1.56,0.2066,0.03551,0.02024,0.01344,0.04362,0.01505,0.03344,0.01017,0.02177,0.02271,0.008453,0.3879,0.3877,
1.559,0.2011,0.03512,0.02019,0.01347,0.04369,0.01505,0.03351,0.01021,0.02195,0.02245,0.008448,0.388,0.388,
1.558,0.2093,0.03501,0.02011,0.01346,0.04371,0.015,0.03348,0.01021,0.02195,0.02245,0.008464,0.388,0.3881,
1.56,0.2019,0.03498,0.02015,0.01347,0.04387,0.01499,0.03347,0.01027,0.02231,0.0224,0.008466,0.3879,0.3877,
1.56,0.2084,0.03477,0.02015,0.01347,0.04392,0.01499,0.03347,0.0103,0.02238,0.02245,0.008466,0.3879,0.3877,
1.561,0.1932,0.0346,0.02012,0.01349,0.04394,0.01472,0.03337,0.0103,0.02249,0.0232,0.008455,0.3876,0.3877,
1.562,0.2036,0.03439,0.02007,0.01351,0.04396,0.01468,0.03334,0.01612,0.01676,0.02299,0.008461,0.3877,0.388,
1.564,0.2264,0.03486,0.02012,0.01357,0.04414,0.01446,0.03333,0.01612,0.01714,0.02297,0.008418,0.3876,0.3873,
1.563,0.2215,0.03449,0.02017,0.0136,0.04439,0.01428,0.03334,0.01612,0.01714,0.02297,0.008403,0.3876,0.3875,
1.561,0.2178,0.03434,0.02002,0.01365,0.04425,0.01392,0.03339,0.01619,0.01744,0.02238,0.008396,0.3879,0.3881,
1.561,0.2441,0.0347,0.01997,0.01367,0.04431,0.01366,0.03339,0.01632,0.01775,0.0221,0.008387,0.3879,0.3878,
1.563,0.2354,0.0348,0.01991,0.01367,0.0445,0.0134,0.03341,0.01631,0.01771,0.02268,0.008392,0.3877,0.3875,
1.562,0.2327,0.03462,0.01993,0.01368,0.04458,0.01328,0.03338,0.01631,0.01775,0.02264,0.008401,0.3878,0.3877,
1.562,0.2355,0.03445,0.01991,0.01363,0.04461,0.01328,0.03339,0.01635,0.01777,0.02258,0.008401,0.3878,0.3878,
1.559,0.1905,0.03429,0.01991,0.01367,0.04459,0.01278,0.03344,0.01859,0.01551,0.02245,0.008387,0.3879,0.3885,
1.558,0.1815,0.03393,0.01985,0.01368,0.04487,0.01257,0.03345,0.01871,0.01574,0.02196,0.008398,0.3881,0.3888,
1.557,0.1875,0.03368,0.01983,0.01369,0.04497,0.01248,0.03345,0.01871,0.01584,0.02186,0.008398,0.3881,0.389,
1.556,0.2175,0.03318,0.01996,0.01371,0.04517,0.01233,0.03352,0.01861,0.01607,0.02164,0.008405,0.3881,0.3893,
1.559,0.2388,0.03389,0.01997,0.01375,0.04536,0.0121,0.03349,0.01861,0.01606,0.02206,0.008394,0.388,0.3883,
1.562,0.2058,0.03407,0.01998,0.01375,0.04545,0.0121,0.03352,0.01855,0.0163,0.02267,0.00839,0.3878,0.3875,
1.554,0.2371,0.03392,0.01995,0.01377,0.04536,0.0121,0.03352,0.02919,0.006116,0.02246,0.008408,0.3878,0.3874,
1.554,0.1882,0.03372,0.01997,0.01369,0.04528,0.01203,0.03347,0.02923,0.006317,0.02245,0.00842,0.3877,0.3877,
1.553,0.1979,0.03336,0.01986,0.01373,0.04547,0.01203,0.03348,0.02929,0.006569,0.02215,0.008428,0.3878,0.3878,
1.553,0.21,0.03333,0.0198,0.01372,0.04542,0.01203,0.03358,0.02921,0.006717,0.02201,0.008433,0.3879,0.3879,
1.552,0.2069,0.03299,0.01982,0.01393,0.0455,0.01199,0.03353,0.02918,0.006719,0.02193,0.008253,0.388,0.3882,
1.557,0.2089,0.0329,0.01974,0.01398,0.04548,0.0182,0.02736,0.02914,0.007074,0.02158,0.008245,0.388,0.3883,
1.556,0.1963,0.03277,0.01974,0.01398,0.04539,0.0182,0.02741,0.02911,0.007328,0.02133,0.008243,0.3881,0.3884,
1.558,0.2108,0.03308,0.01968,0.01398,0.04542,0.0182,0.02744,0.02907,0.007466,0.02137,0.00826,0.3881,0.388,
1.558,0.2061,0.03279,0.01961,0.01389,0.04555,0.01827,0.02736,0.02906,0.007464,0.02187,0.008265,0.3879,0.3879,
1.558,0.1847,0.03259,0.0196,0.01391,0.04553,0.01822,0.02739,0.02908,0.007857,0.02141,0.008265,0.388,0.3881,
1.557,0.2003,0.03234,0.01962,0.01388,0.04555,0.01823,0.0274,0.02915,0.007801,0.02126,0.008259,0.3882,0.3883,
1.556,0.2169,0.03179,0.01977,0.0139,0.0458,0.0181,0.02744,0.02912,0.007841,0.02123,0.00826,0.3882,0.3885,
1.555,0.2263,0.03161,0.01977,0.01391,0.04585,0.0179,0.02739,0.02913,0.007881,0.02119,0.008261,0.3883,0.3888,
1.555,0.215,0.03143,0.0198,0.01393,0.04588,0.0179,0.02739,0.02913,0.007921,0.02116,0.008266,0.3883,0.3889,
1.555,0.2246,0.0313,0.01975,0.01396,0.0459,0.01773,0.02744,0.02909,0.008351,0.02073,0.008287,0.3884,0.3891,
1.553,0.2277,0.03102,0.01985,0.01398,0.04598,0.01713,0.02744,0.02919,0.008258,0.02073,0.008281,0.3884,0.3897,
1.557,0.2222,0.03261,0.01979,0.01398,0.04591,0.01668,0.02742,0.02917,0.008449,0.02139,0.00827,0.3881,0.3882,
1.557,0.2622,0.03223,0.01977,0.01399,0.04619,0.01657,0.02739,0.0292,0.008703,0.02108,0.008276,0.3882,0.3884,
1.559,0.2437,0.03238,0.01974,0.01399,0.04623,0.01628,0.02737,0.02921,0.008655,0.02223,0.008266,0.3878,0.3879,
1.558,0.2704,0.03211,0.01982,0.01398,0.04604,0.01611,0.02738,0.02922,0.008864,0.02204,0.008287,0.388,0.3882,
1.557,0.2659,0.03174,0.01986,0.01391,0.04608,0.01599,0.02731,0.02927,0.00895,0.02192,0.008301,0.3881,0.3886,
1.556,0.2273,0.03164,0.01988,0.01392,0.04603,0.01579,0.0274,0.02922,0.008921,0.02184,0.008303,0.3882,0.3889,
1.558,0.2112,0.03255,0.01985,0.01393,0.04602,0.0156,0.0274,0.02928,0.008865,0.022,0.008306,0.3882,0.388,
1.557,0.2278,0.03211,0.01982,0.01396,0.04633,0.01564,0.02741,0.02928,0.008835,0.022,0.0083,0.3882,0.3881,
1.557,0.225,0.03201,0.01975,0.014,0.04632,0.01552,0.02744,0.02924,0.008911,0.02193,0.008293,0.3883,0.3883,
1.557,0.2293,0.03205,0.01985,0.01401,0.04629,0.01542,0.02744,0.0293,0.009073,0.02195,0.008291,0.3882,0.3881,
1.556,0.2382,0.03187,0.01991,0.01402,0.04624,0.01504,0.02747,0.02929,0.009464,0.02151,0.008289,0.3883,0.3886,
1.555,0.2282,0.03181,0.01988,0.01405,0.04617,0.01475,0.02747,0.02938,0.009989,0.02091,0.008287,0.3884,0.3889,
1.555,0.2461,0.03154,0.02,0.01407,0.04621,0.01467,0.02747,0.02939,0.01021,0.02068,0.008289,0.3884,0.389,
1.557,0.235,0.03257,0.02002,0.01409,0.0462,0.01425,0.02746,0.02937,0.01034,0.02097,0.008276,0.3883,0.3882,
1.557,0.2629,0.03217,0.02004,0.0141,0.04647,0.01416,0.02747,0.02938,0.01089,0.0203,0.008276,0.3884,0.3883,
1.557,0.2685,0.03173,0.02023,0.01416,0.04651,0.01406,0.02744,0.02939,0.01135,0.01986,0.008273,0.3884,0.3886,
1.558,0.2751,0.03201,0.02022,0.01417,0.04652,0.01388,0.0275,0.02932,0.01134,0.0202,0.008266,0.3883,0.3882,
1.557,0.2414,0.03179,0.02026,0.01419,0.04658,0.01388,0.0275,0.02932,0.01139,0.02009,0.008265,0.3884,0.3883,
1.558,0.2363,0.03175,0.02022,0.01419,0.0466,0.01373,0.0275,0.02935,0.01188,0.01988,0.00827,0.3884,0.3883,
1.556,0.2386,0.03171,0.02019,0.01411,0.04652,0.01367,0.02743,0.02936,0.01189,0.01968,0.008254,0.3885,0.3887,
1.557,0.2254,0.03167,0.02016,0.01412,0.04659,0.01358,0.02741,0.02934,0.01201,0.02006,0.008259,0.3883,0.3885,
1.556,0.2261,0.03157,0.02013,0.01406,0.04647,0.01359,0.02742,0.02939,0.01227,0.01962,0.008264,0.3884,0.3888,
1.556,0.2252,0.03209,0.0201,0.01404,0.0464,0.01326,0.02735,0.02942,0.01221,0.01977,0.008262,0.3884,0.3887,
1.556,0.2096,0.03191,0.0202,0.01405,0.04629,0.0131,0.02736,0.02942,0.01229,0.01969,0.008269,0.3885,0.3889,
