entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.3377,0.2016,0.002825,6.88E-4,2.395E-4,0.001372,0.001089,4.001E-4,5.256E-4,6.774E-4,8.501E-4,0.9142,0.0771,
0.3374,0.2079,0.002813,6.854E-4,2.388E-4,0.001365,0.001075,3.991E-4,5.253E-4,6.771E-4,8.497E-4,0.9143,0.07708,
0.3372,0.1999,0.002806,6.836E-4,2.386E-4,0.001359,0.001053,3.991E-4,5.253E-4,6.771E-4,8.497E-4,0.9143,0.0771,
0.3371,0.2089,0.002799,6.825E-4,2.381E-4,0.001352,0.001037,3.982E-4,5.252E-4,6.77E-4,8.643E-4,0.9143,0.07712,
0.3369,0.1965,0.002794,6.819E-4,2.379E-4,0.001345,0.001019,3.97E-4,5.249E-4,6.766E-4,8.637E-4,0.9143,0.07714,
0.337,0.2043,0.002786,6.802E-4,2.373E-4,0.001342,0.001008,3.961E-4,5.247E-4,6.765E-4,8.954E-4,0.9143,0.07715,
0.3369,0.2001,0.002782,6.796E-4,2.371E-4,0.001335,0.001008,3.961E-4,5.246E-4,6.765E-4,8.953E-4,0.9143,0.07715,
0.3374,0.1986,0.002778,6.788E-4,2.367E-4,0.001329,0.001003,3.961E-4,5.246E-4,6.764E-4,9.736E-4,0.9143,0.07715,
0.3373,0.1959,0.002775,6.782E-4,2.365E-4,0.001321,9.957E-4,3.958E-4,5.242E-4,6.759E-4,9.73E-4,0.9143,0.07716,
0.3372,0.1969,0.002773,6.778E-4,2.364E-4,0.001316,9.855E-4,3.958E-4,5.242E-4,6.759E-4,9.73E-4,0.9143,0.07717,
0.3375,0.1977,0.002783,6.756E-4,2.342E-4,0.00131,9.795E-4,3.948E-4,5.241E-4,6.759E-4,0.001037,0.9142,0.07716,
0.3372,0.2081,0.002709,6.697E-4,2.341E-4,0.001305,9.71E-4,3.948E-4,5.241E-4,6.758E-4,0.001037,0.9142,0.07724,
0.3367,0.2068,0.002625,6.631E-4,2.308E-4,0.001299,9.667E-4,3.947E-4,5.241E-4,6.758E-4,0.001036,0.9142,0.07734,
0.3373,0.1937,0.002762,6.586E-4,2.292E-4,0.001293,9.606E-4,3.938E-4,5.24E-4,6.757E-4,0.001073,0.9142,0.07721,
0.3375,0.1886,0.002795,6.551E-4,2.28E-4,0.001287,9.596E-4,3.918E-4,5.24E-4,6.757E-4,0.001097,0.9142,0.07718,
0.3373,0.1844,0.002774,6.493E-4,2.277E-4,0.001281,9.461E-4,3.906E-4,5.239E-4,6.756E-4,0.001097,0.9142,0.07722,
0.3374,0.1822,0.002822,6.431E-4,2.254E-4,0.001273,9.441E-4,3.906E-4,5.238E-4,6.755E-4,0.001107,0.9142,0.07718,
0.3372,0.1869,0.002787,6.369E-4,2.249E-4,0.001269,9.314E-4,3.903E-4,5.234E-4,6.75E-4,0.001106,0.9142,0.07722,
0.3377,0.1803,0.002858,6.315E-4,2.248E-4,0.001266,0.001047,2.662E-4,5.234E-4,6.75E-4,0.001193,0.9142,0.07716,
0.3377,0.1858,0.002851,6.252E-4,2.247E-4,0.001259,0.001033,2.661E-4,5.233E-4,6.749E-4,0.001208,0.9142,0.07718,
0.3377,0.1791,0.002871,6.232E-4,2.244E-4,0.001256,0.001025,2.661E-4,5.233E-4,6.748E-4,0.00122,0.9141,0.07717,
0.3375,0.1769,0.002828,6.205E-4,2.239E-4,0.001252,0.00102,2.661E-4,5.233E-4,6.748E-4,0.001223,0.9142,0.07721,
0.3375,0.1674,0.00285,6.108E-4,2.232E-4,0.001248,0.001014,2.661E-4,5.233E-4,6.748E-4,0.001233,0.9142,0.0772,
0.3372,0.1704,0.002798,6.032E-4,2.21E-4,0.001243,0.001004,2.661E-4,5.232E-4,6.748E-4,0.001233,0.9142,0.07727,
0.3378,0.1681,0.002918,6.014E-4,2.21E-4,0.001241,9.982E-4,2.66E-4,5.232E-4,6.748E-4,0.001264,0.9141,0.07715,
0.3376,0.1619,0.002848,5.945E-4,2.192E-4,0.001235,9.842E-4,2.66E-4,5.232E-4,6.747E-4,0.001297,0.9141,0.07724,
0.3374,0.1634,0.002808,5.883E-4,2.184E-4,0.00123,9.761E-4,2.66E-4,5.232E-4,6.747E-4,0.001297,0.9141,0.07729,
0.3372,0.1666,0.002781,5.859E-4,2.183E-4,0.001226,9.659E-4,2.65E-4,5.232E-4,6.747E-4,0.001297,0.9141,0.07733,
