R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.7E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,0.0043,0.0,0.0,0.0,270.0,1.0,5.0E8,
8.2E-42,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,2.3E-6,0.0,0.0,0.0,31000.0,1.0,5.0E8,
5.1E-42,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,2.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
1.6E-34,8.0,3299999.9999999995,82000.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3299999.9999999995,80.0,0.64,0.64,0.0,5.0,2.6E-4,0.0,0.0,0.0,81000.0,1.0,5.0E8,
1.5E-35,0.74,3199999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,7.4,0.2,0.2,0.0,7.0,5.5E-5,0.0,0.0,0.0,98000.0,1.0,5.0E8,
1.5E-35,0.74,3199999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,7.4,0.2,0.2,0.0,8.0,1.2E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
1.5E-35,0.73,3199999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,7.4,0.2,0.2,0.0,9.0,2.4E-4,0.0,0.0,0.0,130000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,7.4,0.2,0.2,0.0,10.0,4.3E-4,0.0,0.0,0.0,150000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.4,0.2,0.2,0.0,11.0,7.4E-4,0.0,0.0,0.0,160000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.3,0.19,0.19,0.0,13.0,0.0012,0.0,0.0,0.0,180000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.3,0.19,0.19,0.0,15.0,0.0019,0.0,0.0,0.0,200000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1800.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.3,0.19,0.19,0.0,15.0,0.003,0.0,0.0,0.0,210000.0,1.0,5.0E8,
1.5E-35,0.73,3099999.9999999995,1700.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.3,0.19,0.19,0.0,16.0,0.0045,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.5E-35,0.72,3099999.9999999995,1700.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.3,0.19,0.19,0.0,18.0,0.004,0.0,0.0,0.0,220000.0,1.0,5.0E8,
1.5E-35,0.72,3099999.9999999995,1700.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,7.2,0.19,0.19,0.0,22.0,0.004,0.0,0.0,0.0,220000.0,1.0,5.0E8,
6.1E-36,0.3,3099999.9999999995,450.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,22.0,0.0015,0.0,0.0,0.0,220000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0014,0.0,0.0,0.0,220000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0013,0.0,0.0,0.0,210000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0014,0.0,0.0,0.0,220000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0017,0.0,0.0,0.0,220000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0023,0.0,0.0,0.0,230000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0031,0.0,0.0,0.0,250000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0043,0.0,0.0,0.0,260000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.006,0.0,0.0,0.0,270000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0083,0.0,0.0,0.0,290000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.006,0.0,0.0,0.0,270000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.005,0.0,0.0,0.0,270000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0051,0.0,0.0,0.0,270000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0059,0.0,0.0,0.0,270000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0073,0.0,0.0,0.0,280000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.0095,0.0,0.0,0.0,300000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.012,0.0,0.0,0.0,310000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,2.9,0.16,0.16,0.0,26.0,0.016,0.0,0.0,0.0,320000.0,1.0,5.0E8,
5.9E-36,0.29,3099999.9999999995,260.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3099999.9999999995,3.0,0.16,0.16,0.0,26.0,0.014,0.0,0.0,0.0,310000.0,1.0,5.0E8,
